time,X,Y,Z
20.41,6.752479260633557,-0.00512926058239813,-80.33868723054687
20.46,6.781588328868048,-0.005174065079048664,-80.33953390542503
20.51,6.810721270068112,-0.005219103949986698,-80.34038058009565
20.56,6.839876395392809,-0.005264374304479558,-80.34122725357115
20.61,6.869052139086967,-0.0053098738926631445,-80.34207392542305
20.66,6.898247047058915,-0.00535560076760017,-80.34292059552303
20.71,6.927459768181607,-0.005401552799270506,-80.34376726343098
20.76,6.95668904675997,-0.005447727968860968,-80.34461392864237
20.81,6.985933715677103,-0.005494124659181101,-80.34546059099826
20.86,7.015192690092235,-0.005540741373880462,-80.34630725043537
20.91,7.044464961639069,-0.005587576543820775,-80.34715390670357
20.96,7.0737495930396115,-0.005634628740499424,-80.34800055957524
21.01,7.10304571307993,-0.005681896771070953,-80.34884720901532
21.06,7.132352511946819,-0.005729379494557434,-80.34969385499751
21.11,7.161669236908674,-0.005777075763221475,-80.35054049739722
21.16,7.1909951882951235,-0.005824984550929583,-80.35138713613324
21.21,7.220329715750004,-0.005873104966642923,-80.3522337712215
21.26,7.249672214754082,-0.005921436148322879,-80.35308040266013
21.31,7.279022123399494,-0.005969977256970128,-80.35392703040127
21.36,7.30837891938657,-0.006018727545066071,-80.3547736544348
21.4,7.337742117228226,-0.00606768634324045,-80.35562027479463
21.46,7.367111265655511,-0.006116853004353635,-80.35646689149432
21.51,7.396485945208511,-0.006166226913161005,-80.35731350452875
21.56,7.425865765993707,-0.006215807518854873,-80.35816011391839
21.61,7.455250365598072,-0.0062655943175137325,-80.35900671970091
21.66,7.484639407152775,-0.00631558682498626,-80.3598533218983
21.71,7.514032577534011,-0.0063657845878397875,-80.36069992052627
21.76,7.543429585688668,-0.00641618719667665,-80.36154651561574
21.81,7.572830161077816,-0.006466794271876953,-80.36239310720222
21.86,7.602234052231352,-0.006517605451574598,-80.36323969531097
21.91,7.631641027642019,-0.006568620402717369,-80.36408627996701
21.96,7.66105087055984,-0.0066198388185638776,-80.36493286120279
22.01,7.690463376894857,-0.006671260416606598,-80.36577943905161
22.06,7.719878358263772,-0.00672288492243492,-80.36662601353626
22.11,7.74929563995843,-0.006774712078644945,-80.36747258467696
22.16,7.778715059724024,-0.0068267416583816225,-80.3683191525049
22.21,7.808136466793232,-0.006878973449704283,-80.36916571705072
